Hora,LUN,MAR,MIE,JUE,VIE
07:00-07:50,,"TRABAJO INTERDISCIPLINAR III @T5
","PRACTICAS PRE PROFESIONALES @T4
",,
07:50-08:40,,"TRABAJO INTERDISCIPLINAR III @T1
","PRACTICAS PRE PROFESIONALES @T4
",,
08:50-09:40,"CLOUD COMPUTING @LAB3
","CLOUD COMPUTING @LAB3
","PRACTICAS PRE PROFESIONALES @T4
","TRABAJO DE INVESTIGACIÓN @T2
TRABAJO DE INVESTIGACIÓN @T5
","TRABAJO DE INVESTIGACIÓN @T2
TRABAJO DE INVESTIGACIÓN @T5
TRABAJO DE INVESTIGACIÓN @T1
"
09:40-10:30,"CLOUD COMPUTING @LAB3
","CLOUD COMPUTING @LAB3
",,"TRABAJO DE INVESTIGACIÓN @T2
TRABAJO DE INVESTIGACIÓN @T1
","TRABAJO DE INVESTIGACIÓN @T1
TRABAJO DE INVESTIGACIÓN @T2
"
10:40-11:30,"ROBOTICA (E) @LAB2
ROBOTICA (E) @LAB3
","INTERNET DE LAS COSAS @LAB3
INTERNET DE LAS COSAS @LAB2
ROBOTICA (E) @LAB1
",,,
11:30-12:20,"INTERNET DE LAS COSAS @LAB2
INTERNET DE LAS COSAS @LAB1
","INTERNET DE LAS COSAS @LAB2
ROBOTICA (E) @LAB1
",,,
14:00-14:50,,,"CLOUD COMPUTING @LAB3
","PRACTICAS PRE PROFESIONALES @T4
","TRABAJO INTERDISCIPLINAR III @T5
"
14:50-15:40,,,"CLOUD COMPUTING @LAB3
","ROBOTICA (E) @LAB1
ROBOTICA (E) @LAB2
",
15:50-16:40,,"TOPICOS EN CIBERSEGURIDAD (E) @LAB1
TOPICOS EN CIBERSEGURIDAD (E) @LAB2
","TOPICOS EN CIBERSEGURIDAD (E) @LAB3
TOPICOS EN CIBERSEGURIDAD (E) @LAB1
",,
16:40-17:30,,"TOPICOS EN CIBERSEGURIDAD (E) @LAB1
","TOPICOS EN CIBERSEGURIDAD (E) @LAB1
",,
